id,ra,dec,zfinal,mass_med,sersic,radius_sersic,MAG_BEST,C,A,S,G,M20,M,I,D,G2,Base_flag,Type
208182,149.775893,2.066043,0.6902,10.8,5.024228861,7.17632E-05,20.2482,4.172043,0.030426,0.001811,0.607932,-2.378206,0.00779,0.006337,0.023381,0.011502,0,ETD
208183,149.768284,2.069411,2.5382,8.83488,2.64853542,5.28454E-05,24.7119,3.194508,0.00342,-0.039729,0.512213,-1.882587,0.165049,0.109175,0.070948,2.015298,0,ETD
208184,149.768533,2.069324,2.5223,9.57191,0.49191323,9.78786E-05,24.1468,3.003372,-0.129695,-0.073358,0.495609,-1.12078,0.552632,0.293017,0.278242,2.006705,0,IRR
208187,149.814178,2.052736,1.236,8.97968,1.195719087,6.962E-05,23.9876,2.48085,0.002218,0.0089,0.479602,-1.457518,0.090395,0.196224,0.231079,2.027472,0,LTD
208188,149.742053,2.078907,2.1064,9.87597,2.362985693,9.36008E-05,23.4502,2.830752,-0.141669,-0.017488,0.483106,-1.505715,0.246753,0.297389,0.110317,1.999104,0,IRR
208193,149.780124,2.065031,1.9016,10.9,4.224759841,2.03651E-05,21.9084,3.496487,0.082555,0.064129,0.578162,-1.919131,0,0,0.022715,0.200485,0,SPH
208199,149.745206,2.078015,1.9238,8.8038,2.040727503,2.01535E-05,25.2393,2.731388,-0.043071,0,0.589142,-1.816074,0.068966,0,0.060514,2.076409,0,SPH
208202,149.77157,2.068468,4.2843,8.8467,1.193473806,3.21998E-05,25.7392,2.513147,-0.13721,-0.00025,0.537092,-1.775073,0.083333,0.088615,0.133871,2.013905,0,UNC
208206,149.769322,2.069202,4.4924,8.8464,2.279063802,4.0406E-05,24.8633,3.120346,0.271245,0.005714,0.526895,-1.1612,0.275,0.380121,0.370366,1.984191,0,ETD
208207,149.769482,2.069239,4.2454,9.05,8.397200511,2.81765E-05,23.6874,3.420398,0.106963,0.02237,0.610484,-1.866333,0.101911,0.057161,0.009296,1.752234,0,ETD
208208,149.815536,2.052487,3.137,10.42118,2.721487763,3.10727E-05,23.719,3.152518,0.074793,0.010391,0.528628,-1.875743,0.027523,0.040564,0.024855,1.896774,0,ETD
208213,149.812169,2.053466,1.3584,10.02154,2.677763682,7.26621E-05,22.2542,3.298355,0.00834,-0.010165,0.553269,-1.937709,0.088235,0.179687,0.05486,1.846133,0,ETD
208215,149.77201,2.068333,3.3946,9.45979,0.60992027,6.71348E-05,23.8145,2.406349,0.039373,0.024621,0.473737,-1.405919,0.386364,0.491809,0.121659,2.021384,0,LTD
208218,149.808236,2.054796,1.0628,10.08044,0.905516571,0.000110876,23.3383,2.956018,-0.041168,-0.006364,0.507872,-1.265399,0.125874,0.067681,0.304524,2.004485,0,IRR
208222,149.776419,2.06678,1.5137,9.35219,1.292600962,7.46877E-05,23.6252,3.134915,-0.152471,-0.018512,0.522313,-1.815264,0.027027,0.019392,0.028959,2.000936,0,ETD
